('Thigpen ', 'Bay Springs', '31.95376472', '-89.23450472')
('Brookhaven', 'Shirley', '40.81676528', '-72.86204722')
('Hilton Head', 'Hilton Head Island', '32.22436111', '-80.69747222')
('Hartford Municipal', 'Hartford', '43.34927806', '-88.39112528')
('Barnstable Mun Boardman/Polando ', 'Hyannis', '41.66933639', '-70.28035583')
('Hydaburg SPB', 'Hydaburg', '55.20631611', '-132.8283131')
('San Marcos Municipal', 'San Marcos', '29.89361111', '-97.86469444')
('Hollis SPB', 'Hollis', '55.48158833', '-132.6460942')
('Sawyer County', 'Hayward', '46.02585722', '-91.44424278')
('Hays Municipal', 'Hays', '38.84494167', '-99.27403361')
('Conway-Horry County', 'Conway', '33.8285', '-79.12216667')
('Carroll County', 'Huntingdon', '36.08930722', '-88.46329778')
('Mercer County Regional', 'Hazen', '47.28986111', '-101.5809444')
('Hazleton Muni', 'Hazleton', '40.98677778', '-75.99488889')
('False River Air Park', 'New Roads', '30.71832333', '-91.47866972')
('Ashtabula County', 'Ashtabula', '41.77797528', '-80.69551333')
('Sturgis Municipal', 'Sturgis', '37.54083333', '-87.95183333')
('Sidney Municipal', 'Sidney', '40.24127944', '-84.15101167')
('Kee ', 'Pineville', '37.60044444', '-81.55927778')
('Jackson County', 'Ravenswood', '38.92977778', '-81.81947222')
('Greene County', 'Dayton', '39.69172639', '-83.99023806')
('Randolph County', 'Winchester', '40.16885083', '-84.92585333')
('Fayette County', 'Washington Court House', '39.57040167', '-83.42052444')
('Welch Muni', 'Welch', '37.41678056', '-81.52899417')
('Morehead-Rowan County', 'Morehead', '38.13341472', '-83.53796528')
('Greensburg-Decatur County ', 'Greensburg', '39.32691111', '-85.52252694')
('Tucker-Guthrie Memorial', 'Harlan', '36.85981028', '-83.36101639')
('Madison County', 'Richmond', '37.63152778', '-84.33244444')
('Richard Downing', 'Coshocton', '40.30918056', '-81.85338194')
('Paoli Municipal', 'Paoli', '38.58338806', '-86.46248778')
('James A Rhodes', 'Jackson', '38.98135194', '-82.57785667')
('Stanton', 'Stanton', '37.85008167', '-83.84575194')
('Pike County', 'Waverly', '39.16693333', '-82.928175')
('Mt. Sterling Municipal', 'Mt. Sterling', '39.9875', '-90.80416667')
('Clinton ', 'Wilmington', '39.50286111', '-83.86305556')
('Cincinnati West', 'Harrison', '39.25894444', '-84.77430556')
('Lebanon-Warren County', 'Lebanon', '39.46217306', '-84.25184722')
('Clermont County', 'Batavia', '39.07839722', '-84.21020722')
('Grimes ', 'Urbana', '40.12928306', '-83.7548775')
('Osceola Municipal', 'Osceola', '41.05221889', '-93.68966222')
('Peru Municipal', 'Peru', '40.78631889', '-86.14638306')
('Union County', 'Marysville', '40.22469444', '-83.35161111')
('Salem Municipal', 'Salem', '38.60200167', '-86.13997889')
('Perry County', 'New Lexington', '39.69159667', '-82.19778583')
('Pontiac Municipal', 'Pontiac', '40.92372222', '-88.6255')
('Breckinridge County', 'Hardinsburg', '37.78505944', '-86.44192194')
('Hardin County', 'Kenton', '40.61072', '-83.64359694')
('Washington Dulles International', 'Chantilly', '38.94453194', '-77.45580972')
('Niagara Falls Intl', 'Niagara Falls', '43.10725861', '-78.94538139')
('George Bush Intercontinental', 'Houston', '29.98047222', '-95.33972222')
('Bob Baker Memorial', 'Kiana', '66.97937611', '-160.4358597')
('Robert E. Arraj ', 'Kimball', '41.18805556', '-103.6773889')
('Schenck ', 'Clarinda', '40.72178361', '-95.02642667')
('Wichita Mid-Continent', 'Wichita', '37.64995889', '-97.43304583')
('Idaho Falls Regional', 'Idaho Falls', '43.51455556', '-112.0701667')
('Indiana Cty/Jimmy Stewart', 'Indiana', '40.63222222', '-79.10552778')
('Indianola Municipal', 'Indianola', '33.48574611', '-90.67887611')
('Independence Municipal', 'Independence', '37.15837222', '-95.77838333')
('Whittier', 'Whittier', '60.7772125', '-148.7215775')
('Pine Ridge', 'Pine Ridge', '43.02257694', '-102.5110728')
('Natchitoches Municipal', 'Natchitoches', '31.73572', '-93.09913639')
('Iowa Falls Municipal', 'Iowa Falls', '42.47078639', '-93.26995361')
('Laughlin/Bullhead International', 'Bullhead City', '35.15738889', '-114.5595278')
('Igiugig', 'Igiugig', '59.32373528', '-155.9032733')
('Kingman', 'Kingman', '35.25947222', '-113.9380556')
('Lansing Municipal', 'Chicago/Lansing', '41.53988889', '-87.53216667')
('Nightmute', 'Nightmute', '60.47032722', '-164.6856414')
('Independence Municipal', 'Independence', '42.45359833', '-91.94761833')
('Kipnuk', 'Kipnuk', '59.93295111', '-164.0305131')
('Washington-Wilkes County', 'Washington', '33.77987528', '-82.81661639')
('Windham', 'Willimantic', '41.74404028', '-72.18023583')
('Jacksonville Municipal', 'Jacksonville', '39.77429694', '-90.23856583')
('Greater Kankakee', 'Kankakee', '41.07140417', '-87.84626861')
('Ankeny Regional', 'Ankeny', '41.69128556', '-93.56630333')
('Killeen Municipal', 'Killeen', '31.08583333', '-97.6865')
('New Castle County ', 'Wilmington', '39.67872222', '-75.60652778')
('Iliamna', 'Iliamna', '59.75380028', '-154.9109597')
('Wilmington International', 'Wilmington', '34.27061111', '-77.90255556')
('Imperial Municipal', 'Imperial', '40.50930556', '-101.6205278')
('Immokalee', 'Immokalee', '26.43316667', '-81.40102778')
('Madison Municipal', 'Madison', '38.75888889', '-85.46552778')
('Ford', 'Iron Mountain/Kingsford', '45.81835417', '-88.1145425')
('Indianapolis Downtown', 'Indianapolis', '39.76587639', '-86.148875')
('Indianapolis International', 'Indianapolis', '39.71732917', '-86.29438417')
('Winkler County', 'Wink', '31.77962833', '-103.2013619')
('Falls International', 'International Falls', '48.56618722', '-93.40306667')
('Smith Reynolds', 'Winston-Salem', '36.13372222', '-80.222')
('Winslow-Lindbergh Regional', 'Winslow', '35.02191667', '-110.7225278')
('Mt Sterling-Montgomery County', 'Mount Sterling', '38.05813889', '-83.97958333')
('Iowa City Municipal', 'Iowa City', '41.63924389', '-91.54650333')
('Lincoln County', 'Lincolnton', '35.48332889', '-81.16125833')
('Imperial County', 'Imperial', '32.83422028', '-115.5787456')
('Williamsport-Lycoming Cty', 'Williamsport', '41.24183583', '-76.92109556')
('Kirksville Regional', 'Kirksville', '40.09364444', '-92.54496917')
('Kirsch Municipal', 'Sturgis', '41.8128725', '-85.43906111')
('Kissimmee Municipal', 'Orlando', '28.28980556', '-81.43708333')
('Sloulin Field International', 'Williston', '48.17793861', '-103.6423467')
('Kinston Regional Jetport At Stallin', 'Kinston', '35.32807944', '-77.61552611')
('Long Island - MacArthur', 'Islip', '40.7952425', '-73.10021194')
('Schoolcraft County', 'Manistique', '45.97464056', '-86.17183056')
('Alexander ', 'Wisconsin Rapids', '44.36033833', '-89.83897056')
('Cincinnati-Blue Ash', 'Cincinnati', '39.24669444', '-84.38897222')
('Tompkins Cty ', 'Ithaca', '42.49102778', '-76.45844444')
('Hilo International', 'Hilo', '19.72026306', '-155.0484703')
('Kit Carson County', 'Burlington', '39.2425', '-102.2853889')
('Williams Gateway', 'Phoenix', '33.30783333', '-111.6554722')
('Gogebic County', 'Ironwood', '46.52747472', '-90.13139667')
('Wabash Municipal', 'Wabash', '40.76195972', '-85.79873417')
('Wiscasset', 'Wiscasset', '43.96141667', '-69.71255556')
('Wales', 'Wales', '65.62394028', '-168.0991719')
('West Houston', 'Houston', '29.81819444', '-95.67261111')
('New Century Aircenter', 'Olathe', '38.83090472', '-94.89030333')
('Inyokern', 'Inyokern', '35.65884306', '-117.8295122')
('Wasilla', 'Wasilla', '61.57196083', '-149.5405556')
('Santa Ynez', 'Santa Ynez', '34.60682028', '-120.0755617')
('Eastern Slopes Regional', 'Fryeburg', '43.99114472', '-70.94787444')
('Jackson Hole', 'Jackson', '43.60732417', '-110.7377389')
('Jackson International', 'Jackson', '32.31116667', '-90.07588889')
('Jasper County -Bell ', 'Jasper', '30.89058333', '-94.03483333')
('Campbell County', 'Jacksboro', '36.33457556', '-84.16234472')
('Jacksonville International', 'Jacksonville', '30.49405556', '-81.68786111')
('Jonesboro Municipal', 'Jonesboro', '35.83186111', '-90.64616667')
('Kimble County', 'Junction', '30.51126', '-99.76345528')
('Jordan', 'Jordan', '47.33333417', '-106.9339564')
('Jefferson City Memorial', 'Jefferson City', '38.59117917', '-92.15614389')
('Jerome County', 'Jerome', '42.72663639', '-114.4571506')
('Jesup-Wayne County', 'Jesup', '31.55408333', '-81.88344444')
('John F Kennedy Intl', 'New York', '40.63975111', '-73.77892556')
('Walker County', 'Jasper', '33.90199528', '-87.31416639')
('Kapalua', 'Lahaina', '20.96293639', '-156.6730317')
('Chautauqua Cty', 'Jamestown', '42.15336861', '-79.258035')
('Jack Edwards', 'Gulf Shores', '30.28951667', '-87.67371472')
('Moorhead Municipal ', 'Moorhead', '46.83919194', '-96.66313028')
('Julian Carroll', 'Jackson', '37.59386111', '-83.31725')
('Joplin Regional', 'Joplin', '37.15181361', '-94.49826833')
('Mora Municipal', 'Mora', '45.88609722', '-93.27177833')
('Jamestown Municipal', 'Jamestown', '46.92971944', '-98.67819528')
('Juneau International', 'Juneau', '58.35496194', '-134.5762764')
('Johnston County', 'Smithfield', '35.54094139', '-78.39032944')
('Joliet Park District', 'Chicago/Joliet', '41.51805833', '-88.17525583')
('Concord Regional', 'Concord', '35.38520694', '-80.70971389')
('Port Authority-W 30th St Midtown Heliport', 'New York', '40.75454583', '-74.00708389')
('Downtown Manhattan/Wall St. Heliport', 'New York', '40.70121361', '-74.00902833')
('Kalaeloa (John Rodgers )', 'Kapolei', '21.30735389', '-158.0703017')
('Jacksonville-Cherokee County', 'Jacksonville', '31.86933667', '-95.21739028')
('Johnstown-Cambria Cty', 'Johnstown', '40.31611111', '-78.83394444')
('Rock County', 'Janesville', '42.61958222', '-89.04034028')
('Clark County', 'Jeffersonville', '38.36562278', '-85.73829639')
('Watonga', 'Watonga', '35.86469444', '-98.42075')
('John C. Tune', 'Nashville', '36.18236194', '-86.88672278')
('Jackson County Reynolds ', 'Jackson', '42.25978556', '-84.45940361')
('St James Municipal', 'St James', '43.98631833', '-94.55793722')
('Plantation Airpark', 'Sylvania', '32.64544861', '-81.59649722')
('Hillsdale Municipal', 'Hillsdale', '41.92126083', '-84.5857625')
('Leesburg Executive ', 'Leesburg', '39.07797222', '-77.5575')
('Municipal', 'York', '40.89675', '-97.62277778')
('Charleston Executive', 'Charleston', '32.70086111', '-80.00291667')
('Pickens County', 'Jasper', '34.45147972', '-84.45659278')
('Koliganek', 'Koliganek', '59.72664194', '-157.2594722')
('Farington ', 'Auburn', '40.38750167', '-95.78916167')
('Perryville Municipal', 'Perryville', '37.86866667', '-89.86213889')
('Greater Beardstown', 'Beardstown', '39.97338139', '-90.40373556')
('Piseco Muni', 'Piseco', '43.45340222', '-74.51765083')
('Linn Creek-Grand Glaize Memorial', 'Osage Beach', '38.11045', '-92.68054583')
('Wendell H. Ford', 'Hazard', '37.38783833', '-83.26205889')
('Big Sandy Regional', 'Prestonburg', '37.75102778', '-82.63669444')
('Russell County', 'Jamestown', '37.00888889', '-85.10277778')
('Council', 'Council', '64.89788278', '-163.7034472')
('Salem Memorial', 'Salem', '37.61523333', '-91.60444167')
('Municipal', 'Gardner', '38.80708333', '-94.95602778')
('St Clair Memorial', 'St Clair', '38.37594333', '-90.97073944')
('Blair Municipal', 'Blair', '41.41805139', '-96.1136275')
('Teller', 'Teller', '65.24089806', '-166.3360067')
('Gould Peterson Municipal', 'Tarkio', '40.44583139', '-95.36275806')
('Amelia Earhart', 'Atchison', '39.57052472', '-95.18033139')
('Moritz Memorial', 'Beloit', '39.47115222', '-98.12878389')
('Falmouth Pendleton County', 'Falmouth', '38.70423611', '-84.39160417')
('Oswego Municipal', 'Oswego', '37.15978667', '-95.04246222')
('Garnett Municipal', 'Garnett', '38.27918833', '-95.21691833')
('Abilene Municipal', 'Abilene.', '38.90405583', '-97.23585389')
('Miami County', 'Paola', '38.53751389', '-94.92524194')
('Smith Center Municipal', 'Smith Center', '39.76112278', '-98.79343639')
('Sabetha Municipal', 'Sabetha', '39.90416667', '-95.7794325')
('Allen County', 'Iola', '37.87008333', '-95.38638889')
('Macon-Fower Memorial', 'Macon', '39.72870694', '-92.464455')
('Tuscola', 'Tuscola', '39.78086528', '-88.30616')
('Kake SPB', 'Kake', '56.97299639', '-133.9456147')
('Kaltag', 'Kaltag', '64.32571917', '-158.7441475')
('Coffman Cove SPB', 'Coffman Cove', '56.00324444', '-132.8419689')
('Chignik Lagoon', 'Chignik Flats', '56.31116306', '-158.5359264')
('English Bay', 'English Bay', '59.35214833', '-151.9251558')
('Ekwok', 'Ekwok', '59.35399444', '-157.4744092')
('False Pass', 'False Pass', '54.84744583', '-163.4103222')
('Grayling', 'Grayling', '62.89456056', '-160.0649042')
('Ivanof Bay SPB', 'Ivanof Bay', '55.89753333', '-159.4886689')
('Mesa Del Rey', 'King City', '36.22802139', '-121.1218614')
('Koyuk', 'Koyuk', '64.93404056', '-161.158145')
('Kitoi Bay SPB', 'Kitoi Bay', '58.19094611', '-152.3704875')
('Kalskag', 'Kalskag', '61.53627389', '-160.3413306')
('Levelock', 'Levelock', '59.11816472', '-156.8652169')
('Kelso-Longview', 'Kelso', '46.118', '-122.8983889')
('Kanab Muni', 'Kanab', '37.01110583', '-112.5311936')
('Stuyahok', 'New Stuyahok', '59.44955333', '-157.3271908')
('Kona International At Keahole', 'Kailua/Kona', '19.73876583', '-156.0456314')
('Point Baker SPB', 'Point Baker', '56.35185972', '-133.6225864')
('Pauloff Harbor SPB', 'Pauloff Harbor', '54.45912028', '-162.6936406')
('Akutan SPB', 'Akutan', '54.13246694', '-165.7853111')
("St. Mary's", "St. Mary's", '62.06048639', '-163.3021108')
('Thorne Bay', 'Thorne Bay', '55.68796194', '-132.5366758')
('Ketchikan International', 'Ketchikan', '55.35556861', '-131.71374')
('Brevig Mission', 'Brevig Mission', '65.33136111', '-166.4631667')
('King Cove', 'King Cove', '55.1163475', '-162.2662272')
('Kivalina', 'Kivalina', '67.73125333', '-164.5518019')
('Kwethluk', 'Kwethluk', '60.80425194', '-161.44535')
('Kasaan SPB', 'Kasaan', '55.53741389', '-132.3975144')
('Karluk', 'Karluk', '57.56706389', '-154.4503714')
('Koyukuk', 'Koyukuk', '64.87714278', '-157.7158358')
('Holtville', 'Holtville', '32.84032361', '-115.2674806')
('Kern Valley', 'Kernville', '35.72828472', '-118.4198069')
('Furnace Creek', 'Death Valley National Park', '36.46383694', '-116.8814425')
('Borrego Valley', 'Borrego Springs', '33.25902778', '-116.3209722')
('Redlands Municipal', 'Redlands', '34.08526167', '-117.1463789')
('Henderson', 'Las Vegas', '35.97636444', '-115.1327708')
('Taft-Kern County', 'Taft', '35.14107806', '-119.4412294')
('Fallbrook Community Airpark', 'Fallbrook', '33.35419806', '-117.2508686')
('Wasco-Kern County', 'Wasco', '35.61967889', '-119.3537242')
('Hesperia', 'Hesperia', '34.37722333', '-117.3158783')
('Greater St. Tammany Parish ', 'Covington', '30.44505417', '-89.98887889')
('Big Bear City', 'Big Bear', '34.26361944', '-116.854475')
('Louisiana Regional', 'Gonzales', '30.17135306', '-90.94039583')
('Leesville', 'Leesville', '31.16819444', '-93.34245833')
('Allen Parish', 'Oakdale', '30.75016667', '-92.68847222')
('Bakersfield Municipal', 'Bakersfield', '35.32483333', '-118.9958333')
('South Lafourche', 'Galliano', '29.44482222', '-90.26111667')
('Oceano County', 'Oceano', '35.10136472', '-120.6221153')
('Rialto Municipal ', 'Rialto', '34.12934361', '-117.4016303')
('Agua Dulce Airpark', 'Agua Dulce', '34.50415889', '-118.3128561')
('California City Municipal', 'California City', '35.15125306', '-118.0166667')
('Trona', 'Trona', '35.81245333', '-117.3272783')
('Southland ', 'Sulphur', '30.13138889', '-93.37611111')
('Thibodaux Municipal', 'Thibodaux', '29.74779194', '-90.83289889')
('Lost Hills-Kern County', 'Lost Hills', '35.62357083', '-119.6862383')
('Alamo Landing ', 'Alamo', '37.36246083', '-115.1944622')
('Lamar Muni', 'Lamar', '38.06969444', '-102.6885')
('Purdue University', 'Lafayette', '40.41231694', '-86.93689889')
('Lakeland Linder Regional', 'Lakeland', '27.98891667', '-82.01855556')
('Los Alamos', 'Los Alamos', '35.87980194', '-106.2694153')
('Capital City', 'Lansing', '42.7787', '-84.58735806')
('Laramie Regional', 'Laramie', '41.31205', '-105.6749864')
('McCarran International', 'Las Vegas', '36.08036111', '-115.1523333')
('Lawton-Ft Sill Regional', 'Lawton', '34.56771444', '-98.41663667')
('Los Angeles International', 'Los Angeles', '33.94253611', '-118.4080744')
('Lubbock International', 'Lubbock', '33.66363889', '-101.8227778')
('Arnold Palmer Regional', 'Latrobe', '40.27594', '-79.40479722')
('North Platte Regional ', 'North Platte', '41.12621194', '-100.6836542')
('Liberal Municipal', 'Liberal', '37.04420944', '-100.9598611')
('Floyd W Jones Lebanon', 'Lebanon', '37.64718056', '-92.65375778')
('Lumberton Municipal', 'Lumberton', '34.60991667', '-79.05944444')
('Brazoria County', 'Angleton', '29.10863889', '-95.46208056')
('Wayne Municipal', 'Wayne', '42.24188889', '-96.98141667')
('Lake Charles Regional', 'Lake Charles', '30.1260975', '-93.22340361')
('Laconia Municipal', 'Laconia', '43.57272806', '-71.41890028')
('Rickenbacker International ', 'Columbus', '39.81375917', '-82.92786472')
('Lake City Municipal', 'Lake City', '30.18205556', '-82.57686111')
('Linden ', 'Linden', '40.61744722', '-74.24459417')
('Mason County', 'Ludington', '43.96253278', '-86.40791528')
('Lebanon Municipal', 'Lebanon', '43.62637222', '-72.30426722')
('Leesburg Regional', 'Leesburg', '28.82274417', '-81.80900722')
('Lemmon Municipal', 'Lemmon', '45.91869722', '-102.1061778')
('Auburn-Lewiston Municipal', 'Auburn-Lewiston', '44.04847278', '-70.2835075')
('Blue Grass ', 'Lexington', '38.03697222', '-84.60538889')
('Lufkin-Angelina County', 'Lufkin', '31.23401389', '-94.75')
('Lafayette Regional', 'Lafayette', '30.20527972', '-91.987655')
('LaGuardia', 'New York', '40.77724306', '-73.87260917')
('Long Beach (Daugherty )', 'Long Beach', '33.81772222', '-118.1516111')
('LaGrange-Callaway', 'Lagrange', '33.00884694', '-85.07260556')
('La Grande/Union County', 'La Grande', '45.29020944', '-118.0071108')
('Logan-Cache', 'Logan', '41.78773083', '-111.8526822')
('Lake Hood SPB', 'Anchorage', '61.18000361', '-149.9719322')
('Lincoln Regional ', 'Lincoln', '38.90916111', '-121.3513361')
('Fairfield County', 'Lancaster', '39.75564722', '-82.65711')
('Wm T Piper Memorial', 'Lock Haven', '41.13618028', '-77.42053556')
('La Junta Muni', 'La Junta', '38.05134111', '-103.5106908')
('Franklin County', 'Louisburg', '36.02334528', '-78.33027139')
('Limon Municipal', 'Limon', '39.272765', '-103.6663392')
('Lihue', 'Lihue', '21.97598306', '-159.3389581')
('Adams ', 'Little Rock', '34.72939611', '-92.22424556')
('Litchfield Municipal', 'Litchfield', '45.09712889', '-94.50726833')
('Lake Placid', 'Lake Placid', '44.26447361', '-73.96186639')
('Lancaster County', 'Lancaster', '34.72291667', '-80.85458333')
('Louisa County / Freeman ', 'Louisa', '38.00983333', '-77.97013889')
('Lake County', 'Lakeview', '42.16111111', '-120.3990703')
('Challis', 'Challis', '44.52297806', '-114.2175642')
('Monticello Municipal', 'Monticello', '33.6385525', '-91.75101833')
('Lamar Municipal', 'Lamar', '37.4894925', '-94.31150444')
('Louisville-Winston County', 'Louisville', '33.14620944', '-89.06247917')
('Klamath Falls International', 'Klamath Falls', '42.15614361', '-121.7332081')
('Palm Beach County Park', 'Lantana', '26.593', '-80.08505556')
('Lancaster', 'Lancaster', '32.57919111', '-96.71905111')
('Hunt ', 'Lander', '42.81523611', '-108.7298392')
('Lincoln Municipal', 'Lincoln', '40.85097222', '-96.75925')
("Kings Land O' Lakes", "Land O' Lakes", '46.15387722', '-89.21194417')
('Lost Nation', 'Willoughby', '41.68391667', '-81.39030556')
('Lonesome Pine', 'Wise', '36.98743194', '-82.53017361')
('Lancaster', 'Lancaster', '40.12171528', '-76.29609778')
('Lanai', 'Lanai City', '20.78561111', '-156.9514181')
('Derby ', 'Lovelock', '40.066405', '-118.5651664')
('Lewis University', 'Chicago/Romeoville', '41.60844444', '-88.09094444')
('Bowman ', 'Louisville', '38.228', '-85.66372222')
('London-Corbin  Magee ', 'London', '37.08727778', '-84.07677778')
('Lompoc', 'Lompoc', '34.66561028', '-120.4667883')
('Lorain Co Regional', 'Lorain/Elyria', '41.34427778', '-82.17763889')
('Pickens County', 'Pickens', '34.80997222', '-82.70288889')
('Larned-Pawnee County', 'Larned', '38.20809667', '-99.08607306')
('Laredo International', 'Laredo', '27.54373861', '-99.46154361')
('Lincoln Regional', 'Lincoln', '45.36216083', '-68.53474694')
('Le Mars Municipal', 'Le Mars', '42.77801778', '-96.19368944')
('Las Cruces International', 'Las Cruces', '32.28941667', '-106.9219722')
('Lordsburg Municipal', 'Lordsburg', '32.33278083', '-108.6909742')
('La Crosse Municipal', 'La Crosse', '43.87937972', '-91.25653778')
('Lusk Muni', 'Lusk', '42.75380806', '-104.4045536')
('Los Banos Municipal', 'Los Banos', '37.06290556', '-120.8692511')
('Ellington ', 'Lewisburg', '35.506975', '-86.80388611')
('Cincinnati Muni-Lunken ', 'Cincinnati', '39.10334417', '-84.41861417')
('Hesler-Noble ', 'Laurel', '31.67255139', '-89.17222417')
('Kalaupapa', 'Kalaupapa', '21.21104028', '-156.9735972')
('Clover ', 'Houston', '29.52130556', '-95.24216667')
('Livermore Municipal', 'Livermore', '37.69339944', '-121.8203519')
('Mission ', 'Livingston', '45.69938889', '-110.4483056')
('Airlake ', 'Minneapolis', '44.62785361', '-93.22810806')
('Las Vegas Municipal', 'Las Vegas', '35.65422222', '-105.1423889')
('Greenbrier Valley', 'Lewisburg', '37.85830556', '-80.39947222')
('Lawrence Municipal', 'Lawrence', '39.01115222', '-95.21657694')
('Lamoni Municipal', 'Lamoni', '40.63333306', '-93.90217028')
('Wells Municipal/Harriet ', 'Wells', '41.11853306', '-114.9222661')
('Lawrence Municipal', 'Lawrence', '42.71720944', '-71.12343')
('Lewiston-Nez Perce County', 'Lewiston', '46.37449806', '-117.0153944')
('Lewistown Muni', 'Lewistown', '47.04913944', '-109.4666006')
('Lawrenceville-Vincennes Municipal', 'Lawrenceville', '38.76429639', '-87.60549556')
('Little Falls - Morrison County', 'Little Falls', '45.94943778', '-94.34708472')
('Lexington (Jim Kelly )', 'Lexington', '40.791', '-99.77727778')
("Lee's Summit Municipal", "Lee's Summit", '38.95975', '-94.37158333')
('Lake County', 'Leadville', '39.2202675', '-106.3166906')
('Mexia-Limestone County', 'Mexia', '31.63983472', '-96.51472222')
('Lynchburg Municipal-Preston Glenn ', 'Lynchburg', '37.32668528', '-79.20043056')
('Lyons-Rice County Municipal', 'Lyons', '38.34261472', '-98.22709639')
('Gwinnett County ', 'Lawrenceville', '33.97807611', '-83.96237722')
('General Dewitt Spain', 'Memphis', '35.20069278', '-90.05397694')
('Dickson Municipal', 'Dickson', '36.12931722', '-87.43007056')
('Dennis F Cantrell ', 'Conway', '35.08080778', '-92.42496167')
('Covington Municipal', 'Covington', '35.583365', '-89.58722167')
('Caruthersville Memorial', 'Caruthersville', '36.17506917', '-89.67508')
('William L. Whitehurst ', 'Bolivar', '35.21445944', '-89.04336222')
('Piedmont Municipal', 'Piedmont', '37.12671694', '-90.7128975')
('Copiah County', 'Crystal Springs', '31.90293639', '-90.36870222')
('Poplarville-Pearl River County', 'Poplarville', '30.78602056', '-89.50450694')
('Perry County', 'Linden', '35.59590306', '-87.87669361')
('John Bell Williams', 'Raymond', '32.30334111', '-90.40848333')
('Bolivar Municipal', 'Bolivar', '37.59693194', '-93.34765')
('Hope Municipal', 'Hope', '33.72008889', '-93.65884556')
('Newport Municipal', 'Newport', '35.63771778', '-91.17637556')
('Muhlenberg County', 'Greenville', '37.22561111', '-87.15752778')
('Russellville Municipal', 'Russellville', '34.44953972', '-87.71030833')
('James H. Easom ', 'Newton', '32.31181111', '-89.13589194')
('Dean Griffin Memorial', 'Wiggins', '30.84324389', '-89.15977333')
('Mayfield-Graves County', 'Mayfield', '36.76911111', '-88.58472222')
('Waldron Municipal', 'Waldron', '34.87509944', '-94.10993056')
('Hassel ', 'Clifton', '35.38507528', '-87.96752833')
('Metropolis Municipal', 'Metropolis', '37.18588722', '-88.75061')
('Lake Village Municipal', 'Lake Village', '33.3459775', '-91.31569833')
('Sumner County Regional', 'Gallatin', '36.37684472', '-86.40875861')
('Kentucky Dam State Park', 'Gilbertsville', '37.00950028', '-88.29586639')
('Frank Federer Memorial', 'Brinkley', '34.88000194', '-91.1764375')
('Ruleville-Drew', 'Drew', '33.77639167', '-90.52500833')
('Mena Intermountain Municipal', 'Mena', '34.54539444', '-94.20265278')
('Monroe County', 'Aberdeen-Amory', '33.87374861', '-88.48967833')
('Holly Springs-Marshall County', 'Holly Springs', '34.80434611', '-89.5211075')
('Prentiss-Jefferson Davis County', 'Prentiss', '31.59544583', '-89.90619056')
('Houston Municipal', 'Houston', '33.89177944', '-89.02367194')
('Colstrip', 'Colstrip', '45.85285', '-106.7092722')
('Houston Memorial', 'Houston', '37.33009167', '-91.97316944')
('Franklin-Wilkins', 'Lexington', '35.65131944', '-88.37893444')
('Humboldt Municipal', 'Humboldt', '35.80218', '-88.87494944')
('Lebanon Municipal', 'Lebanon', '36.19041667', '-86.31569444')
('Monett Municipal', 'Monett', '36.90621528', '-94.01275833')
('Richton-Perry County', 'Richton', '31.31739944', '-88.93504778')
('Woodruff County', 'Augusta', '35.27175278', '-91.27040417')
('Wynne Municipal', 'Wynne', '35.23160167', '-90.76155111')
('Pocahontas Municipal', 'Pocahontas', '36.24551111', '-90.95520444')
('New Albany-Union County', 'New Albany', '34.54722222', '-89.02416667')
('Almyra Municipal', 'Almyra', '34.41232833', '-91.46634722')
('Malta', 'Malta', '48.36694167', '-107.9193444')
('Picayune Municipal', 'Picayune', '30.48748472', '-89.65119306')
('Howard County', 'Nashville', '33.99673833', '-93.83813583')
('Malvern Municipal', 'Malvern', '34.33331583', '-92.76149944')
('John H Hooks Jr Memorial', 'Rayville', '32.48633611', '-91.77087528')
('Madison County Executive ', 'Huntsville', '34.85645028', '-86.55621472')
('McCharen ', 'West Point', '33.58403556', '-88.66668694')
('Dexter B. Florence Memorial ', 'Arkadelphia', '34.09984639', '-93.06611694')
('Springfield-Robertson County', 'Springfield', '36.53726194', '-86.92068917')
('Richard Arthur ', 'Fayette', '33.71221972', '-87.81504639')
('Tunica Municipal', 'Tunica', '34.69232306', '-90.35065389')
('Saline County/Watts ', 'Benton', '34.55656472', '-92.60693972')
('Herbert Smart Downtown', 'Macon', '32.82213889', '-83.56202778')
('Madera Municipal', 'Madera', '36.9857175', '-120.1119844')
('Midland International', 'Midland', '31.94252778', '-102.2019139')
('Marianna Municipal', 'Marianna', '30.83780556', '-85.18188889')
('Malone-Dufort', 'Malone', '44.85365722', '-74.32894972')
('Marion County', 'Marion', '34.18116667', '-79.33472222')
('Malden Municipal', 'Malden', '36.60055694', '-89.99220278')
('Eugenio Maria De Hostos', 'Mayaguez', '18.25569444', '-67.14847222')
('Mobridge Municipal', 'Mobridge', '45.54650361', '-100.4079192')
('Manistee County Blacker', 'Manistee', '44.27319722', '-86.2490025')
('Bruce Campbell ', 'Madison', '32.43866444', '-90.10309222')
('Mbs International', 'Saginaw', '43.53291472', '-84.07964722')
('Murfreesboro Municipal', 'Murfreesboro', '35.87748444', '-86.37753222')
('Omar N Bradley', 'Moberly', '39.46392583', '-92.42759778')
('McComb-Pike County', 'McComb', '31.17845444', '-90.47187528')
('Mackinac Island', 'Mackinac Island', '45.86493444', '-84.63734444')
